@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute outputs-1 {0,1,2,3}

@data
948,'2022/02/21 23:49:50:541',4,0.368198,0.355673,0.409336,0.169842,0.475451,0.038215,0.415951,0.238867,0.399897,0.246899,0.387518,0.032237,1
949,'2022/02/21 23:49:50:639',4,0.369382,0.371285,0.406321,0.192506,0.478192,0.052176,0.417363,0.252799,0.400688,0.257923,0.390172,0.048313,1
950,'2022/02/21 23:49:50:739',4,0.369217,0.38572,0.406476,0.202451,0.478009,0.072106,0.416031,0.267513,0.400319,0.274664,0.391166,0.069822,1
951,'2022/02/21 23:49:50:837',4,0.367757,0.393608,0.406842,0.215083,0.476898,0.081173,0.41547,0.276873,0.398887,0.285023,0.390219,0.080459,1
952,'2022/02/21 23:49:50:936',4,0.367741,0.396372,0.40972,0.216837,0.476243,0.085412,0.417935,0.278128,0.398685,0.292882,0.389978,0.081543,1
953,'2022/02/21 23:49:51:034',4,0.370195,0.395466,0.412003,0.216764,0.479401,0.086516,0.419223,0.276658,0.400515,0.292553,0.392278,0.083823,1
954,'2022/02/21 23:49:51:134',4,0.37013,0.398005,0.410707,0.219273,0.479904,0.086902,0.418645,0.281916,0.401236,0.293434,0.393139,0.084783,1
955,'2022/02/21 23:49:51:233',4,0.370102,0.395105,0.412476,0.22075,0.47878,0.087058,0.416822,0.283721,0.399691,0.29521,0.392031,0.082496,1
956,'2022/02/21 23:49:51:333',4,0.371413,0.387534,0.412478,0.212623,0.479486,0.077182,0.419327,0.271286,0.399845,0.288816,0.392722,0.076921,1
957,'2022/02/21 23:49:51:432',4,0.370368,0.374825,0.414084,0.198746,0.479396,0.060238,0.41603,0.260643,0.39897,0.271803,0.392113,0.062336,1
958,'2022/02/21 23:49:51:531',4,0.369977,0.364014,0.413764,0.187691,0.476985,0.048171,0.41533,0.249638,0.398413,0.259641,0.390142,0.048271,1
959,'2022/02/21 23:49:51:629',4,0.369098,0.352841,0.413254,0.172974,0.478903,0.038027,0.414668,0.237707,0.398482,0.245345,0.391002,0.037901,1
960,'2022/02/21 23:49:51:729',4,0.371589,0.346758,0.413491,0.167129,0.481879,0.036624,0.419773,0.234627,0.40195,0.245766,0.393731,0.035501,1
961,'2022/02/21 23:49:51:827',4,0.369373,0.346443,0.413725,0.16564,0.479786,0.036372,0.416298,0.232336,0.399903,0.243072,0.393187,0.030909,1
962,'2022/02/21 23:49:51:927',4,0.36749,0.341378,0.409575,0.16424,0.475714,0.030304,0.411279,0.229735,0.395736,0.232205,0.389528,0.023727,1
